,smiles
89,CC1(C)c2ccccc2-c2cc3c(cc21)-c1cc2c(cc1C3(C)C)-c1ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc45)s3)cc1C2(C)C
90,CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(C)C
91,CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc45)s2)cc1C3(C)C
92,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s3)cc21
93,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21
94,CC1(C)c2ccccc2-c2ccc(-c3ccc(C4=C(c5ccccc5)C(c5ccccc5)=C(c5cccs5)[Si]4(C)C)s3)cc21
95,CC1(C)c2ccccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21
96,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4cc5sc6cc(C=C(C#N)C(=O)O)sc6c5s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
97,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
98,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
99,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(C=CC=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
100,CC1(C)c2ccccc2-c2ccc(N(c3ccc(C=C(C#N)c4ccc(C=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
101,CC1(C)c2ccccc2-c2ccc(N(c3ccc4c(c3)C(C)(C)c3ccccc3-4)c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)oc4c3)cc21
102,CC1(C)c2ccccc2-c2ccc(N(c3ccc4c(c3)C(C)(C)c3ccccc3-4)c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)sc4c3)cc21
103,CC1(C)c2ccsc2-c2sc(-c3ccc(-c4nc5sc(-c6cccs6)nc5s4)s3)cc21
104,CC1=C(C)C2C=C(c3c4ccccc4cc4ccccc34)C=C=C2c2ccc(-c3c4ccccc4cc4ccccc34)cc21
105,CC1=C(S)C=C(c2ccc(C3=CC(S)=C(c4sc5c(S)c(C)sc5c4S)C3)c3c2=NCN=3)C1
106,CC1=C(c2ccccc2)C(c2ccccc2)=C(C2=C(c3ccccc3)C(c3ccccc3)=C(C3=C(c4ccccc4)C(c4ccccc4)=C(c4ccccc4)C3)C2)C1
107,CC1=C(c2ccccc2)C(c2ccccc2)=C(C2=C3C(=O)N(c4ccccc4)C(C4=C(c5ccccc5)C(c5ccccc5)=C(C)C4)=C3C(=O)N2c2ccccc2)C1
108,CC1=C(c2ccccc2)C(c2ccccc2)=C(c2cc3c4c(c(C5=C(c6ccccc6)C(c6ccccc6)=C(C)C5)cc3c3c2=NCN=3)=NCN=4)C1
109,CC1=C(c2ccccc2)C2=C(C1)/C(=C1\C(=O)NC3=C1CC(C)=C3c1ccccc1)C(=O)C2
